"4","1","a","ELE","stammers4","","0","O_K ",". ","0"
"4","1","b","ELE","stammers4","","","OK.IM"," ",""

"5","5","a","ALN","stammers4","[[dw]] i [[meddwl]] [[fydd]] ","4","ANDREW ","o_gwmpas ar_gyfer y sioe . ","4"
"5","5","b","ALN","stammers4","be.V.1S.PRES.SPOKEN I.PRON.1S think.V.INFIN be.V.3S.FUT+SM ","","name","around.ADV for.PREP the.DET.DEF show.N.F.SG  ",""

"6","3","a","ALN","stammers4","a [[fydd]] ","2","ANNA ","a BEV ","2"
"6","3","b","ALN","stammers4","and.CONJ be.V.3S.FUT+SM ","","name","and.CONJ name ",""
"6","5","a","ALN","stammers4","ANNA a ","2","BEV ","yn [[dod]] i_fewn yn ystod y dydd a gyda yr nos [[dw]] i yn [[meddwl]] . ","15"
"6","5","b","ALN","stammers4","name and.CONJ ","","name","stative.STAT come.V.INFIN in.ADV in.PREP range.N.F.SG the.DET.DEF day.N.M.SG and.CONJ with.PREP the.DET.DEF night.N.F.SG be.V.1S.PRES.SPOKEN I.PRON.1S stative.STAT think.V.INFIN  ",""

"7","1","a","ELE","stammers4","","0","HMM ",". ","0"
"7","1","b","ELE","stammers4","","","hmm.IM"," ",""

"8","1","a","ALN","stammers4","","0","UM ","[[dw]] i ddim yn [[mynd]] i_fewn . ","6"
"8","1","b","ALN","stammers4","","","um.IM[or]gum.N.SG+SM","be.V.1S.PRES.SPOKEN I.PRON.1S not.ADV+SM stative.STAT go.V.INFIN in.ADV  ",""

"10","1","a","ELE","stammers4","","0","OH ","RIGHT ","1"
"10","1","b","ELE","stammers4","","","oh.IM","right.ADJ ",""
"10","2","a","ELE","stammers4","OH ","1","RIGHT ","! ","0"
"10","2","b","ELE","stammers4","oh.IM ","","right.ADJ"," ",""

"15","1","a","ALN","stammers4","","0","OH ","na . ","1"
"15","1","b","ALN","stammers4","","","oh.IM","neg.PRT  ",""

"17","8","a","ALN","stammers4","[[timod]] [[wnes]] i [[wnes]] i [[ofyn]] i ","7","ANNA ","heddiw . ","1"
"17","8","b","ALN","stammers4","know.V.2S.PRES.SPOKEN do.V.1S.PAST.SPOKEN+SM I.PRON.1S do.V.1S.PAST.SPOKEN+SM I.PRON.1S ask.V.INFIN+SM to.PREP ","","name","today.ADV  ",""

"19","1","a","ALN","stammers4","","0","WELL ","na . ","1"
"19","1","b","ALN","stammers4","","","well.ADV","neg.PRT  ",""

"21","1","a","ELE","stammers4","","0","YEAH ",". ","0"
"21","1","b","ELE","stammers4","","","yeah.ADV"," ",""

"27","3","a","ALN","stammers4","ond [[wneith]] ","2","ANDREW ","[[wneud]] hynna SO ","3"
"27","3","b","ALN","stammers4","but.CONJ do.V.3S.FUT+SM ","","name","make.V.INFIN+SM that.DEM.SPOKEN so.ADV ",""
"27","6","a","ALN","stammers4","ANDREW [[wneud]] hynna ","3","SO ","[[mae]] hwnna yn iawn . ","4"
"27","6","b","ALN","stammers4","name make.V.INFIN+SM that.DEM.SPOKEN ","","so.ADV","be.V.3S.PRES that.PRON.M.SG.SPOKEN stative.STAT OK.ADV  ",""

"28","5","a","ALN","stammers4","[[dyn]] nhw ddim yn ","4","BROBLEM ","felly . ","1"
"28","5","b","ALN","stammers4","man.N.M.SG[or]draw.V.3S.PRES+SM they.PRON.3P not.ADV+SM stative.STAT ","","problem.N.SG+SM","so.ADV  ",""

"30","5","a","ELE","stammers4","[[ydy]] o am [[sgwennu]] ","4","UM ","sioe ? ","1"
"30","5","b","ELE","stammers4","be.V.3S.PRES he.PRON.M.3S.SPOKEN for.PREP write.V.INFIN ","","um.IM[or]gum.N.SG+SM","show.N.F.SG  ",""

"31","7","a","ALN","stammers4","[[mae]] yn [[sôn]] am [[sgwennu]] sioe ","6","UM ",". ","0"
"31","7","b","ALN","stammers4","be.V.3S.PRES stative.STAT mention.V.INFIN for.PREP write.V.INFIN show.N.F.SG ","","um.IM[or]gum.N.SG+SM"," ",""

"37","1","a","ELE","stammers4","","0","OH ","iawn felly . ","2"
"37","1","b","ELE","stammers4","","","oh.IM","OK.ADV so.ADV  ",""

"39","6","a","ALN","stammers4","ond [[mae]] wedi [[gofyn]] i ","5","BRIAN ","[[wneud]] yr [[sgwennu]] cerddoriaeth ar ei gyfer o . ","8"
"39","6","b","ALN","stammers4","but.CONJ be.V.3S.PRES after.PREP ask.V.INFIN to.PREP ","","name","make.V.INFIN+SM the.DET.DEF write.V.INFIN music.N.F.SG on.PREP his.ADJ.POSS direction.N.M.SG+SM he.PRON.M.3S.SPOKEN  ",""

"40","1","a","ELE","stammers4","","0","MMHM ",". ","0"
"40","1","b","ELE","stammers4","","","mmhm.IM"," ",""

"41","3","a","ALN","stammers4","a [[mae]] ","2","BRIAN ","yn [[mae]] BRIAN ","3"
"41","3","b","ALN","stammers4","and.CONJ be.V.3S.PRES ","","name","in.PREP be.V.3S.PRES name ",""
"41","6","a","ALN","stammers4","BRIAN yn [[mae]] ","3","BRIAN ","yn [[gweithio]] yn ofnadwy o galed . ","6"
"41","6","b","ALN","stammers4","name in.PREP be.V.3S.PRES ","","name","stative.STAT work.V.INFIN stative.STAT terrible.ADJ of.PREP hard.ADJ+SM  ",""

"43","1","a","ELE","stammers4","","0","HMM ",". ","0"
"43","1","b","ELE","stammers4","","","hmm.IM"," ",""

"44","1","a","ELE","stammers4","","0","OH ","ella [[fydd]] o yn [[siwtio]] fo felly [[bod]] o yn hwyr yn [[cyrraedd]] . ","13"
"44","1","b","ELE","stammers4","","","oh.IM","maybe.ADV.SPOKEN be.V.3S.FUT+SM he.PRON.M.3S.SPOKEN stative.STAT suit.V.INFIN he.PRON.M.3S so.ADV be.V.INFIN he.PRON.M.3S.SPOKEN stative.STAT late.ADJ stative.STAT arrive.V.INFIN  ",""

"48","1","a","ELE","stammers4","","0","HMM ",". ","0"
"48","1","b","ELE","stammers4","","","hmm.IM"," ",""

"49","12","a","ELE","stammers4","[[wnest]] di [[sôn]] wrtho fo heddiw ella [[bod]] yna dŷ yn ","11","BETHEL ","? ","0"
"49","12","b","ELE","stammers4","do.V.2S.PAST.SPOKEN+SM you.PRON.2S+SM mention.V.INFIN to_him.PREP+PRON.M.3S he.PRON.M.3S today.ADV maybe.ADV.SPOKEN be.V.INFIN there.ADV house.N.M.SG+SM in.PREP ","","name"," ",""

"54","1","a","ELE","stammers4","","0","OH ",". ","0"
"54","1","b","ELE","stammers4","","","oh.IM"," ",""

"55","6","a","ALN","stammers4","[[mae]] isio tŷ un_ai ym ","5","MANGOR ","neu i yr cyfeiriad yna . ","5"
"55","6","b","ALN","stammers4","be.V.3S.PRES want.N.M.SG house.N.M.SG either.ADV in.PREP ","","name","or.CONJ to.PREP the.DET.DEF direction.N.M.SG there.ADV  ",""

"56","3","a","ALN","stammers4","i ochrau ","2","ABER ",". ","0"
"56","3","b","ALN","stammers4","to.PREP sides.N.F.PL ","","name"," ",""

"57","1","a","ELE","stammers4","","0","LLANDUDNO ",". ","0"
"57","1","b","ELE","stammers4","","","name"," ",""

"58","1","a","ELE","stammers4","","0","OH ","[[oes]] pam ? ","2"
"58","1","b","ELE","stammers4","","","oh.IM","be.V.3S.PRES.INDEF[or]age.N.F.SG why?.ADV  ",""

"59","1","a","ALN","stammers4","","0","LLANFAIRFECHAN ",". ","0"
"59","1","b","ALN","stammers4","","","name"," ",""

"60","1","a","ALN","stammers4","","0","WELL ","[[mae]] hi yn [[gobeithio]] [[codi]] gwaith . ","6"
"60","1","b","ALN","stammers4","","","well.ADV","be.V.3S.PRES she.PRON.F.3S stative.STAT hope.V.INFIN lift.V.INFIN work.N.M.SG  ",""

"61","3","a","ELE","stammers4","mwy am ","2","GONWY ","ffordd yna ? ","2"
"61","3","b","ELE","stammers4","more.ADJ.COMP for.PREP ","","name","road.N.F.SG there.ADV  ",""

"62","4","a","ALN","stammers4","mwy am ochrau ","3","CONWY ",". ","0"
"62","4","b","ALN","stammers4","more.ADJ.COMP for.PREP sides.N.F.PL ","","name"," ",""

"63","1","a","ELE","stammers4","","0","AH ",". ","0"
"63","1","b","ELE","stammers4","","","ah.IM"," ",""

"65","1","a","ALN","stammers4","","0","SO ","[[wnaeth]] o [[ddeud]] [[diolch]] am . ","5"
"65","1","b","ALN","stammers4","","","so.ADV","do.V.3S.PAST+SM of.PREP say.V.INFIN.SPOKEN+SM thank.V.INFIN for.PREP  ",""

"66","2","a","ALN","stammers4","[[mae]] ","1","JUST ","yn y lle anghywir . ","4"
"66","2","b","ALN","stammers4","be.V.3S.PRES ","","just.ADV[or]just.ADJ","in.PREP the.DET.DEF place.N.M.SG incorrect.ADJ  ",""

"67","1","a","ELE","stammers4","","0","HMM ",". ","0"
"67","1","b","ELE","stammers4","","","hmm.IM"," ",""

"68","3","a","ELE","stammers4","be [[ydy]] ","2","UM ",". ","0"
"68","3","b","ELE","stammers4","what.INT be.V.3S.PRES ","","um.IM[or]gum.N.SG+SM"," ",""

"69","1","a","ALN","stammers4","","0","PHONE ","[[cario]] fi yn . ","3"
"69","1","b","ALN","stammers4","","","phone.N.SG","carry.V.INFIN I.PRON.1S+SM yn.PRT  ",""

"70","1","a","ELE","stammers4","","0","OH ","RIGHT ","1"
"70","1","b","ELE","stammers4","","","oh.IM","right.ADJ ",""
"70","2","a","ELE","stammers4","OH ","1","RIGHT ","be [[dan]] ni yn [[recordio]] fan ","6"
"70","2","b","ELE","stammers4","oh.IM ","","right.ADJ","what.INT be.V.1P.PRES.SPOKEN we.PRON.1P stative.STAT record.V.INFIN place.N.MF.SG+SM ",""
"70","8","a","ELE","stammers4","RIGHT be [[dan]] ni yn [[recordio]] ","6","FAN ","acw ? ","1"
"70","8","b","ELE","stammers4","right.ADJ what.INT be.V.1P.PRES.SPOKEN we.PRON.1P stative.STAT record.V.INFIN ","","place.N.MF.SG+SM","over there.ADV  ",""

"72","1","a","ALN","stammers4","","0","UM ","[[dw]] ddim yn [[gwybod]] . ","4"
"72","1","b","ALN","stammers4","","","um.IM[or]gum.N.SG+SM","be.V.1S.PRES.SPOKEN not.ADV+SM stative.STAT know.V.INFIN  ",""

"73","1","a","ALN","stammers4","","0","CHARLIE ","[[sy]] [[recordio]] rywbeth debyg . ","4"
"73","1","b","ALN","stammers4","","","name","which_is.V.3SP.PRES.REL record.V.INFIN something.N.M.SG+SM similar.ADJ+SM  ",""

"75","1","a","ALN","stammers4","","0","HMM ","! ","0"
"75","1","b","ALN","stammers4","","","hmm.IM"," ",""

"76","1","a","ELE","stammers4","","0","YEAH ","o'n i yn [[deud]] efo yr PIANO ","7"
"76","1","b","ELE","stammers4","","","yeah.ADV","unk to.PREP stative.STAT say.V.INFIN.SPOKEN with.PREP the.DET.DEF piano.N.SG ",""
"76","8","a","ELE","stammers4","YEAH o'n i yn [[deud]] efo yr ","7","PIANO ","[[gynnau]] [[oedd]] UM ","3"
"76","8","b","ELE","stammers4","yeah.ADV unk to.PREP stative.STAT say.V.INFIN.SPOKEN with.PREP the.DET.DEF ","","piano.N.SG","light.V.INFIN+SM be.V.3S.IMPERF um.IM[or]gum.N.SG+SM ",""
"76","11","a","ELE","stammers4","PIANO [[gynnau]] [[oedd]] ","3","UM ",". ","0"
"76","11","b","ELE","stammers4","piano.N.SG light.V.INFIN+SM be.V.3S.IMPERF ","","um.IM[or]gum.N.SG+SM"," ",""

"77","4","a","ELE","stammers4","o'n i angen ","3","CHARLIE ","[[benderfynu]] be [[oedd]] o yn [[wneud]] . ","6"
"77","4","b","ELE","stammers4","unk to.PREP need.N.M.SG ","","name","decide.V.INFIN+SM what.INT be.V.3S.IMPERF he.PRON.M.3S.SPOKEN stative.STAT make.V.INFIN+SM  ",""

"80","7","a","ELE","stammers4","a [[bod]] ni angen ymarfer deg ","6","MUNUD ","bob dydd . ","2"
"80","7","b","ELE","stammers4","and.CONJ be.V.INFIN we.PRON.1P need.N.M.SG exercise.N.F.SG ten.NUM[or]fair.ADJ+SM ","","minute.N.M.SG","each.PREQ+SM day.N.M.SG  ",""

"81","3","a","ELE","stammers4","a ei ","2","ER ","benderfyniad o neu [[ateb]] o erbyn diwedd [[oedd]] [[deud]] . ","9"
"81","3","b","ELE","stammers4","and.CONJ his.ADJ.POSS ","","er.IM","decision.N.M.SG+SM he.PRON.M.3S.SPOKEN or.CONJ answer.N.M.SG[or]answer.V.3S.PRES[or]answer.V.INFIN he.PRON.M.3S.SPOKEN by.PREP end.N.M.SG be.V.3S.IMPERF say.V.INFIN.SPOKEN  ",""

"82","11","a","ELE","stammers4","[[dw]] ddim yn [[gwybod]] os [[fyddwch]] chi yn [[licio]] hyn ","10","MAM ","ond . ","1"
"82","11","b","ELE","stammers4","be.V.1S.PRES.SPOKEN not.ADV+SM stative.STAT know.V.INFIN if.CONJ be.V.2P.FUT+SM you.PRON.2P stative.STAT like.V.INFIN this.PRON.SP ","","name","but.CONJ  ",""

"84","1","a","ELE","stammers4","","0","UM ","beth am [[roid]] deg ceiniog yr wsnos i mi am [[ymarfer]] ? ","11"
"84","1","b","ELE","stammers4","","","um.IM[or]gum.N.SG+SM","what.INT for.PREP give.V.0.IMPERF+SM ten.NUM penny.N.F.SG the.DET.DEF week.N.F.SG to.PREP I.PRON.1S for.PREP practice.V.INFIN  ",""

"85","1","a","ALN","stammers4","","0","AH ","! ","0"
